Month;Station;light_mean_diff_flux_umol_m2_h1;dark_mean_diff_flux_umol_m2_h1;CO2_light_mean_diff_flux_umol_m2_h1;CO2_dark_mean_diff_flux_umol_m2_h1
Jul;4;40,19838760702753;30,265361652523097;2290,251576241527;3852,473928329692
Jul;5;44,88510672166053;18,626409309243432;10176,464212867077;8647,608028349707
Jul;6;10,21439476563180;11,705216430424592;1303,657345960508;1239,473037737164
Jul;7;48,67310934618717;46,938085349955180;8585,930858683430;9961,133343693506
Jul;9;18,88059579052085;28,263799966526495;2118,189162234269;2860,818529836364
Jul;11;12,73643563084481;10,713004078242761;1541,246339400336;1477,460622286708
Jul;12;34,63145318990236;33,007164425628943;9558,173775094103;10891,200198225986
Jul;13;50,87507837196598;57,302537394016596;16236,423950872291;22082,689648417701
Jul;14;7,92481621102188;7,830037175346538;4541,837285430105;6009,479326160286
Aug;1;95,78609788942407;32,392219145041778;8765,545671047370;5588,919240215798
Aug;3;30,68874811313352;21,841559930730348;12220,113556726074;13127,367831274780
Aug;4;430,37342741097586;48,705733870885780;2708,857809821670;3964,117950574314
Aug;5;10,25300166839646;68,057768981803235;7819,621772341674;10452,557336671734
Aug;6;21,47963661648568;26,166280404885079;1572,254413612505;1695,880909449683
Aug;7;11,40402409093028;14,206199094170561;4525,815522268744;4948,019755871457
Aug;8;20,07061972313438;22,932306202949473;4166,004055860162;4156,771433109308
Aug;10;120,47683758124404;170,087082948926252;9618,054140075330;10298,168148454974
Aug;11;12,43334097074088;12,604526207131322;1497,553066136634;1274,385731889689
Aug;12;12,74809080332484;9,589788169580988;8368,782045549378;8951,250941350481
Aug;14;6,77148912902367;7,780644523203960;7287,887177467716;7501,352833846385
Aug;15;10,78570234462474;10,288032012596881;3766,591072161063;4657,694966289262
Jun;1;31,30759044763355;34,869919016562868;6113,086246115022;5785,758910640085
Jun;2;23,42335692118282;19,341536302809878;1421,122981563670;1219,522690970199
Jun;4;18,26384433809278;27,931705700410308;1368,942194442509;2306,964693238002
Jun;5;15,09997389821365;22,461102666958222;3819,141623474997;3792,325872808956
Jun;7;36,84199097067103;57,616347852553609;2391,352256362481;3477,431601134682
Jun;8;36,08890810120495;38,493831476340922;2341,316673110860;2292,925343437548
Jun;9;60,69655542599702;100,962433909380891;1874,261498136801;3361,645322920247
Jun;10;17,56109453300031;19,339674375709251;1151,883465781099;1967,763688013035
Jun;11;20,87803761341228;16,705867083105559;1238,225056492568;1058,590606397994
Jun;12;7,10517990031197;6,988202194883714;2709,695787578398;2880,770590526658
Jun;13;180,96229786639154;197,715603231485431;14173,137916636710;16777,460459383441
Jun;14;17,10436610624273;-6,556652019881607;4073,554254007724;3604,720430416606
Jun;15;12,05479534455282;12,086067434455476;1098,808113837553;1281,952169873697
Dec;3;197,70666743835559;103,929569498825188;NA;NA
Dec;4;20,18521323411872;24,383060048897907;NA;NA
Dec;5;16,22886662289906;50,892623552170839;NA;NA
Dec;6;7,39452044858978;10,599791087011702;3137,602322547997;4295,923618831799
Dec;7;30,96717991253011;41,684960402172727;NA;NA
Dec;8;52,48118740931784;51,026554787816089;NA;NA
Dec;9;3,89064667021446;5,311701003852468;2803,199599351419;2875,668780063184
Dec;10;7,06233137172865;8,158164958049156;NA;NA
Dec;14;17,60971004407146;28,010249153802118;5045,069610036069;4905,139996468881
Feb;1;26,52672305285736;24,085761551438178;10761,494147246294;8249,701064770577
Feb;2;22,47640436111346;18,589431142685925;492,363132243845;425,882757426983
Feb;6;3,87976380165192;3,319447442247526;NA;NA
Feb;7;19,71821786028337;17,978863674788887;4528,010059768257;5343,128219597742
Feb;8;21,70953248155324;35,947292836584225;3557,386133309743;5768,410544380457
